City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
227,Aklavik,CA,2021-05-22 17:07:13,68.2191,-135.0107,46.69,70,100,8.46
228,Cua,VE,2021-05-22 17:07:13,10.1589,-66.8858,91.6,40,92,3.98
229,Asilah,MA,2021-05-22 17:07:14,35.465,-6.0348,69.76,51,95,14.14
230,Mareeba,AU,2021-05-22 17:07:14,-17.0,145.4333,65.12,98,97,2.57
231,Santa Isabel Do Rio Negro,BR,2021-05-22 17:07:14,-0.4139,-65.0192,88.0,64,64,7.16
232,Yar-Sale,RU,2021-05-22 17:07:14,66.8333,70.8333,62.58,55,64,12.88
233,Mehamn,NO,2021-05-22 17:07:15,71.0357,27.8492,34.5,57,100,22.28
234,Longyan,CN,2021-05-22 17:07:15,25.1072,117.0225,76.01,92,100,2.95
235,Saquarema,BR,2021-05-22 17:07:15,-22.92,-42.5103,84.22,58,54,1.25
236,Meulaboh,ID,2021-05-22 17:07:15,4.1363,96.1285,78.66,85,100,3.51
237,Sur,OM,2021-05-22 17:07:15,22.5667,59.5289,90.72,45,2,7.67
238,Mount Isa,AU,2021-05-22 17:07:16,-20.7333,139.5,65.97,48,0,5.75
239,Sechura,PE,2021-05-22 17:07:16,-5.5569,-80.8222,76.6,58,7,11.86
240,Hasaki,JP,2021-05-22 17:07:16,35.7333,140.8333,61.2,88,100,13.35
241,Canon City,US,2021-05-22 17:07:16,38.441,-105.2424,76.41,40,75,10.0
242,Skowhegan,US,2021-05-22 17:03:36,44.7651,-69.7192,80.38,62,100,6.24
243,Turukhansk,RU,2021-05-22 17:07:17,65.8167,87.9833,38.25,99,100,9.98
244,Kapit,MY,2021-05-22 17:07:17,2.0167,112.9333,74.26,100,94,1.1
245,Fairbanks,US,2021-05-22 17:05:45,64.8378,-147.7164,49.23,91,90,14.97
246,Cockburn Town,TC,2021-05-22 17:07:17,21.4612,-71.1419,76.37,77,79,19.77
247,Bama,NG,2021-05-22 17:07:17,11.5221,13.6856,97.66,27,37,6.71
248,Vao,NC,2021-05-22 17:07:18,-22.6667,167.4833,71.04,66,21,11.1
249,Beaverlodge,CA,2021-05-22 17:07:18,55.2166,-119.4361,58.68,38,38,6.49
250,Yuci,CN,2021-05-22 17:07:18,37.6803,112.7319,56.95,61,40,9.08
251,Fortuna,US,2021-05-22 17:05:28,40.5982,-124.1573,58.93,65,20,3.0
252,Dikson,RU,2021-05-22 17:07:18,73.5069,80.5464,32.83,98,100,12.1
253,Okhotsk,RU,2021-05-22 17:07:19,59.3833,143.3,33.78,99,100,4.63
254,Baykit,RU,2021-05-22 17:07:19,61.67,96.37,41.67,75,100,1.12
255,Harper,LR,2021-05-22 17:07:19,4.375,-7.7169,83.41,71,44,6.6
256,Sawang Daen Din,TH,2021-05-22 17:07:19,17.4753,103.4575,92.07,55,54,11.77
257,Totness,SR,2021-05-22 17:07:20,5.8833,-56.3167,81.66,82,49,11.48
258,Panaba,MX,2021-05-22 17:07:20,21.2833,-88.2667,74.59,93,100,9.73
259,Bonavista,CA,2021-05-22 17:07:20,48.6499,-53.1147,53.31,63,100,23.98
260,Bethel,US,2021-05-22 17:07:20,41.3712,-73.414,88.18,44,1,5.75
261,Saint-Pierre,RE,2021-05-22 17:05:01,-21.3393,55.4781,74.88,70,90,21.85
262,Bongandanga,CD,2021-05-22 17:07:21,1.5,21.05,75.92,80,100,1.63
263,Coquimbo,CL,2021-05-22 17:07:21,-29.9533,-71.3436,67.73,50,0,7.87
264,Dunedin,NZ,2021-05-22 17:07:21,-45.8742,170.5036,44.8,86,0,4.0
265,Buraydah,SA,2021-05-22 17:07:21,26.326,43.975,97.52,10,85,9.51
266,Gander,CA,2021-05-22 17:07:22,48.9682,-54.5906,55.17,58,100,23.0
267,Carnarvon,AU,2021-05-22 17:07:22,-24.8667,113.6333,73.47,64,57,11.5
268,Beringovskiy,RU,2021-05-22 17:07:22,63.05,179.3167,32.0,87,100,2.3
269,Felipe Carrillo Puerto,MX,2021-05-22 17:07:22,19.5833,-88.05,84.11,63,99,6.33
270,Nuevo Casas Grandes,MX,2021-05-22 17:05:35,30.4167,-107.9167,79.75,25,1,5.99
271,Ekibastuz,KZ,2021-05-22 17:07:23,51.6667,75.3667,70.66,44,1,3.31
272,Cortez,US,2021-05-22 17:07:23,37.3489,-108.5859,72.52,24,1,19.57
273,Liliongan,PH,2021-05-22 17:07:23,7.3628,124.7928,72.95,92,84,3.91
274,Kodiak,US,2021-05-22 17:07:23,57.79,-152.4072,45.91,81,1,3.44
275,Alekseyevka,RU,2021-05-22 17:07:24,50.6309,38.6903,59.29,78,100,6.67
276,San Rafael,AR,2021-05-22 17:07:24,-34.6177,-68.3301,57.31,27,0,2.33
277,Dortyol,TR,2021-05-22 17:07:24,36.8616,36.2289,71.26,77,23,3.2
278,Shumskiy,RU,2021-05-22 17:07:24,54.8318,99.1328,35.33,92,72,4.07
279,Luderitz,NA,2021-05-22 17:07:25,-26.6481,15.1594,67.89,43,27,6.04
280,Udachnyy,RU,2021-05-22 17:07:25,66.4167,112.4,30.4,84,27,5.53
